"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.324378408E0,2.159569979E0,1.034295082E0,9.572018623E0,9.866967586E0
2.334206690E0,2.327163935E0,1.221042871E0,9.423578262E0,9.783172540E0
2.344093358E0,2.284068346E0,1.173158884E0,9.255983353E0,9.605545159E0
2.354314297E0,2.044648170E0,1.182735682E0,9.145850182E0,9.445952857E0
2.363839454E0,2.260126352E0,1.149216771E0,9.246406555E0,9.587747624E0
2.373706434E0,2.193088770E0,1.058237195E0,9.260771751E0,9.575562529E0
2.383537372E0,2.169146776E0,1.197100878E0,9.294290543E0,9.618840104E0
2.393250707E0,2.217030764E0,1.302445769E0,9.327810287E0,9.675724012E0
2.403313885E0,2.207453966E0,1.321599364E0,9.351752281E0,9.699213815E0
2.413183365E0,2.106897593E0,1.292868972E0,9.552865028E0,9.867510218E0
2.423065970E0,2.164358377E0,1.221042871E0,9.442731857E0,9.764249987E0
2.433055711E0,2.049436569E0,1.302445769E0,9.193734169E0,9.509011684E0
2.442594462E0,2.054224968E0,9.768342972E-1,9.294290543E0,9.568588305E0
2.452657119E0,2.370259762E0,9.672574997E-1,9.504981041E0,9.843697628E0
2.462523578E0,2.308010340E0,1.489193439E0,9.222464561E0,9.622809435E0
2.472220454E0,2.212242365E0,1.398213744E0,9.179368973E0,9.545147076E0
2.482336393E0,1.814804912E0,1.211466074E0,9.078812599E0,9.337344651E0
2.492174831E0,2.020706177E0,7.326257229E-1,9.667786598E0,9.903842265E0
2.502014468E0,2.470816135E0,1.053448796E0,9.619902611E0,9.987853272E0
2.511677854E0,2.346317768E0,8.667010069E-1,9.054870605E0,9.393990600E0
2.521672282E0,1.977610588E0,6.895300746E-1,9.390059471E0,9.620790624E0
2.531431189E0,2.063801765E0,1.134851575E0,9.208099365E0,9.504538902E0
2.541293951E0,2.446874142E0,1.244984865E0,9.667786598E0,1.005003871E1
2.551363379E0,2.226607561E0,1.139639974E0,9.332598686E0,9.661985238E0
2.561238901E0,2.231395960E0,1.288080573E0,9.485827446E0,9.829506693E0
2.571116922E0,2.059013367E0,9.672574997E-1,9.093177795E0,9.373420162E0
2.580975153E0,2.106897593E0,1.005564690E0,9.308655739E0,9.596939589E0
2.590644685E0,2.293645144E0,1.144428372E0,9.327810287E0,9.673601661E0
2.600714113E0,2.207453966E0,9.337386489E-1,9.433155060E0,9.732889358E0
2.610395728E0,2.140416384E0,7.948749661E-1,9.433155060E0,9.705545986E0
2.620442136E0,2.255337954E0,1.312022567E0,9.212887764E0,9.575241692E0
2.630133178E0,2.336740971E0,1.335964561E0,9.284713745E0,9.667009310E0
2.640489221E0,2.059013367E0,1.201889277E0,9.495404243E0,9.790136650E0
2.650047243E0,2.279279947E0,1.029506683E0,9.289502144E0,9.620283321E0
2.659738025E0,2.178723574E0,1.091755986E0,9.414001465E0,9.724309288E0
2.669919172E0,2.178723574E0,1.249773264E0,9.193734169E0,9.530661970E0
2.679670058E0,2.164358377E0,9.672574997E-1,9.332598686E0,9.628989173E0
2.689408340E0,2.221819162E0,1.426944256E0,9.509769440E0,9.869567625E0
2.699410894E0,2.298433542E0,8.810662031E-1,9.198522568E0,9.522178943E0
2.709411467E0,2.073378563E0,1.259350061E0,9.624691010E0,9.925700896E0
2.718943135E0,2.322375536E0,1.010353088E0,9.184157372E0,9.526961117E0
2.729223292E0,2.236184359E0,1.082179189E0,9.375694275E0,9.699240971E0
2.738687460E0,2.274491549E0,1.115697980E0,9.442731857E0,9.776670124E0
2.748676680E0,2.250549555E0,1.197100878E0,9.136273384E0,9.485226152E0
